LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
451001,ORLEANS,LYNDONVILLE CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,23,17.3%,20,15%,43,32.3%,ELEMENTARY,SCHOOL DISTRICT,25 HOUSEL AVE,LYNDONVILLE,NY,14098,"(43.3237, -78.394)"
451001,ORLEANS,LYNDONVILLE CENTRAL SCHOOL,WESTERN NEW YORK,2010-2012,19,22.6%,22,26.2%,41,48.8%,MIDDLE/HIGH,SCHOOL DISTRICT,25 HOUSEL AVE,LYNDONVILLE,NY,14098,"(43.3237, -78.394)"
460102,OSWEGO,ALTMAR PARISH-WILLIAMSTOWN CENTRAL SCH DIST.,CENTRAL NEW YORK,2010-2012,74,16.5%,120,26.7%,194,43.2%,DISTRICT TOTAL,SCHOOL DISTRICT,639 COUNTY RT 22,PARISH,NY,13131,"(43.442, -76.0531)"
460102,OSWEGO,ALTMAR PARISH-WILLIAMSTOWN CENTRAL SCH DIST.,CENTRAL NEW YORK,2010-2012,45,18.4%,64,26.2%,109,44.7%,ELEMENTARY,SCHOOL DISTRICT,639 COUNTY RT 22,PARISH,NY,13131,"(43.442, -76.0531)"
460102,OSWEGO,ALTMAR PARISH-WILLIAMSTOWN CENTRAL SCH DIST.,CENTRAL NEW YORK,2010-2012,29,14.1%,56,27.3%,85,41.5%,MIDDLE/HIGH,SCHOOL DISTRICT,639 COUNTY RT 22,PARISH,NY,13131,"(43.442, -76.0531)"
460500,OSWEGO,FULTON CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,210,20.1%,180,17.3%,390,37.4%,DISTRICT TOTAL,SCHOOL DISTRICT,167 S 4TH ST,FULTON,NY,13069,"(43.3223, -76.412)"
460500,OSWEGO,FULTON CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,132,20.7%,103,16.2%,235,36.9%,ELEMENTARY,SCHOOL DISTRICT,167 S 4TH ST,FULTON,NY,13069,"(43.3223, -76.412)"
460500,OSWEGO,FULTON CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,78,19.6%,77,19.4%,155,39%,MIDDLE/HIGH,SCHOOL DISTRICT,167 S 4TH ST,FULTON,NY,13069,"(43.3223, -76.412)"
460701,OSWEGO,HANNIBAL CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,111,20%,147,26.4%,258,46.4%,DISTRICT TOTAL,SCHOOL DISTRICT,928 CAYUGA ST,HANNIBAL,NY,13074,"(43.3179, -76.5793)"
460701,OSWEGO,HANNIBAL CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,75,22.5%,85,25.5%,160,48%,ELEMENTARY,SCHOOL DISTRICT,928 CAYUGA ST,HANNIBAL,NY,13074,"(43.3179, -76.5793)"
460701,OSWEGO,HANNIBAL CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,36,16.1%,62,27.8%,98,43.9%,MIDDLE/HIGH,SCHOOL DISTRICT,928 CAYUGA ST,HANNIBAL,NY,13074,"(43.3179, -76.5793)"
460801,OSWEGO,CENTRAL SQUARE CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,168,17.7%,190,20%,358,37.8%,DISTRICT TOTAL,SCHOOL DISTRICT,642 S MAIN ST,CENTRAL SQUARE,NY,13036,"(43.285, -76.1458)"
460801,OSWEGO,CENTRAL SQUARE CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,101,17.2%,111,18.9%,212,36.1%,ELEMENTARY,SCHOOL DISTRICT,642 S MAIN ST,CENTRAL SQUARE,NY,13036,"(43.285, -76.1458)"
460801,OSWEGO,CENTRAL SQUARE CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,67,18.6%,79,21.9%,146,40.4%,MIDDLE/HIGH,SCHOOL DISTRICT,642 S MAIN ST,CENTRAL SQUARE,NY,13036,"(43.285, -76.1458)"
460901,OSWEGO,MEXICO CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,120,17.6%,161,23.6%,281,41.1%,DISTRICT TOTAL,SCHOOL DISTRICT,40 ACADEMY ST,MEXICO,NY,13114,"(43.4627, -76.2374)"
460901,OSWEGO,MEXICO CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,62,15.9%,87,22.3%,149,38.2%,ELEMENTARY,SCHOOL DISTRICT,40 ACADEMY ST,MEXICO,NY,13114,"(43.4627, -76.2374)"
460901,OSWEGO,MEXICO CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,58,20.3%,74,25.9%,132,46.2%,MIDDLE/HIGH,SCHOOL DISTRICT,40 ACADEMY ST,MEXICO,NY,13114,"(43.4627, -76.2374)"
461300,OSWEGO,OSWEGO CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,234,14.6%,463,28.8%,697,43.4%,DISTRICT TOTAL,SCHOOL DISTRICT,120 E 1ST ST,OSWEGO,NY,13126,"(43.4568, -76.5077)"
461300,OSWEGO,OSWEGO CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,134,12.2%,343,31.1%,477,43.3%,ELEMENTARY,SCHOOL DISTRICT,120 E 1ST ST,OSWEGO,NY,13126,"(43.4568, -76.5077)"
461300,OSWEGO,OSWEGO CITY SCHOOLS,CENTRAL NEW YORK,2010-2012,100,20%,120,24%,220,43.9%,MIDDLE/HIGH,SCHOOL DISTRICT,120 E 1ST ST,OSWEGO,NY,13126,"(43.4568, -76.5077)"
461801,OSWEGO,PULASKI CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,82,22.7%,98,27.1%,180,49.7%,DISTRICT TOTAL,SCHOOL DISTRICT,2 HINMAN RD,PULASKI,NY,13142,"(43.5706, -76.1359)"
461801,OSWEGO,PULASKI CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,56,27.5%,51,25%,107,52.5%,ELEMENTARY,SCHOOL DISTRICT,2 HINMAN RD,PULASKI,NY,13142,"(43.5706, -76.1359)"
461801,OSWEGO,PULASKI CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,26,16.5%,47,29.7%,73,46.2%,MIDDLE/HIGH,SCHOOL DISTRICT,2 HINMAN RD,PULASKI,NY,13142,"(43.5706, -76.1359)"
461901,OSWEGO,SANDY CREEK CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,37,12.2%,54,17.8%,91,30%,DISTRICT TOTAL,SCHOOL DISTRICT,124 SALISBURY ST,SANDY CREEK,NY,13145,"(43.6461, -76.077)"
461901,OSWEGO,SANDY CREEK CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,23,12.6%,29,15.9%,52,28.6%,ELEMENTARY,SCHOOL DISTRICT,124 SALISBURY ST,SANDY CREEK,NY,13145,"(43.6461, -76.077)"
461901,OSWEGO,SANDY CREEK CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,14,11.6%,25,20.7%,39,32.2%,MIDDLE/HIGH,SCHOOL DISTRICT,124 SALISBURY ST,SANDY CREEK,NY,13145,"(43.6461, -76.077)"
462001,OSWEGO,PHOENIX CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,113,17.7%,167,26.2%,280,43.9%,DISTRICT TOTAL,SCHOOL DISTRICT,116 VOLNEY ST,PHOENIX,NY,13135,"(43.2391, -76.3007)"
462001,OSWEGO,PHOENIX CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,51,17.1%,95,31.8%,146,48.8%,ELEMENTARY,SCHOOL DISTRICT,116 VOLNEY ST,PHOENIX,NY,13135,"(43.2391, -76.3007)"
462001,OSWEGO,PHOENIX CENTRAL SCHOOL,CENTRAL NEW YORK,2010-2012,62,18.5%,72,21.4%,134,39.9%,MIDDLE/HIGH,SCHOOL DISTRICT,116 VOLNEY ST,PHOENIX,NY,13135,"(43.2391, -76.3007)"
470202,OTSEGO,GILBERTVILLE-MT UPTON CSD,NORTHEASTERN NEW YORK,2010-2012,20,15.9%,23,18.3%,43,34.1%,DISTRICT TOTAL,SCHOOL DISTRICT,693 STATE HWY 51,GILBERTSVILLE,NY,13776,"(42.4419, -75.3457)"
470202,OTSEGO,GILBERTVILLE-MT UPTON CSD,NORTHEASTERN NEW YORK,2010-2012,16,28.1%,5,8.8%,21,36.8%,ELEMENTARY,SCHOOL DISTRICT,693 STATE HWY 51,GILBERTSVILLE,NY,13776,"(42.4419, -75.3457)"
470202,OTSEGO,GILBERTVILLE-MT UPTON CSD,NORTHEASTERN NEW YORK,2010-2012,12,19%,14,22.2%,26,41.3%,MIDDLE/HIGH,SCHOOL DISTRICT,693 STATE HWY 51,GILBERTSVILLE,NY,13776,"(42.4419, -75.3457)"
470501,OTSEGO,EDMESTON CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,27,15.9%,34,20%,61,35.9%,DISTRICT TOTAL,SCHOOL DISTRICT,11 NORTH ST,EDMESTON,NY,13335,"(42.699, -75.2448)"
470501,OTSEGO,EDMESTON CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,11,11.3%,25,25.8%,36,37.1%,ELEMENTARY,SCHOOL DISTRICT,11 NORTH ST,EDMESTON,NY,13335,"(42.699, -75.2448)"
470501,OTSEGO,EDMESTON CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,16,25%,5,7.8%,21,32.8%,MIDDLE/HIGH,SCHOOL DISTRICT,11 NORTH ST,EDMESTON,NY,13335,"(42.699, -75.2448)"
470801,OTSEGO,LAURENS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,6,6.1%,26,26.5%,32,32.7%,DISTRICT TOTAL,SCHOOL DISTRICT,55 MAIN ST,LAURENS,NY,13796,"(42.5311, -75.0889)"
470801,OTSEGO,LAURENS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,,,12,23.1%,12,23.1%,ELEMENTARY,SCHOOL DISTRICT,55 MAIN ST,LAURENS,NY,13796,"(42.5311, -75.0889)"
470801,OTSEGO,LAURENS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,,,18,40.9%,18,40.9%,MIDDLE/HIGH,SCHOOL DISTRICT,55 MAIN ST,LAURENS,NY,13796,"(42.5311, -75.0889)"
470901,OTSEGO,SCHENEVUS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,18,17.1%,15,14.3%,33,31.4%,DISTRICT TOTAL,SCHOOL DISTRICT,159 MAIN ST,SCHENEVUS,NY,12155,"(42.5496, -74.8184)"
470901,OTSEGO,SCHENEVUS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,8,13.3%,8,13.3%,16,26.7%,ELEMENTARY,SCHOOL DISTRICT,159 MAIN ST,SCHENEVUS,NY,12155,"(42.5496, -74.8184)"
470901,OTSEGO,SCHENEVUS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,,,5,15.2%,5,15.2%,MIDDLE/HIGH,SCHOOL DISTRICT,159 MAIN ST,SCHENEVUS,NY,12155,"(42.5496, -74.8184)"
471101,OTSEGO,MILFORD CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,,,,,,,DISTRICT TOTAL,SCHOOL DISTRICT,42 W MAIN ST,MILFORD,NY,13807,"(42.5911, -74.9509)"
471101,OTSEGO,MILFORD CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,,,,,,,ELEMENTARY,SCHOOL DISTRICT,42 W MAIN ST,MILFORD,NY,13807,"(42.5911, -74.9509)"
471101,OTSEGO,MILFORD CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,42 W MAIN ST,MILFORD,NY,13807,"(42.5911, -74.9509)"
471201,OTSEGO,MORRIS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,17,15.5%,15,13.6%,32,29.1%,DISTRICT TOTAL,SCHOOL DISTRICT,65 MAIN ST,MORRIS,NY,13808,"(42.5507, -75.2373)"
471201,OTSEGO,MORRIS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,6,10.9%,,,6,10.9%,ELEMENTARY,SCHOOL DISTRICT,65 MAIN ST,MORRIS,NY,13808,"(42.5507, -75.2373)"
471201,OTSEGO,MORRIS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,5,16.7%,,,5,16.7%,MIDDLE/HIGH,SCHOOL DISTRICT,65 MAIN ST,MORRIS,NY,13808,"(42.5507, -75.2373)"
471400,OTSEGO,ONEONTA CITY SCHOOLS,NORTHEASTERN NEW YORK,2010-2012,132,18.8%,116,16.5%,248,35.3%,DISTRICT TOTAL,SCHOOL DISTRICT,189 MAIN ST,ONEONTA,NY,13820,"(42.4539, -75.0626)"
471400,OTSEGO,ONEONTA CITY SCHOOLS,NORTHEASTERN NEW YORK,2010-2012,78,17.8%,69,15.7%,147,33.5%,ELEMENTARY,SCHOOL DISTRICT,189 MAIN ST,ONEONTA,NY,13820,"(42.4539, -75.0626)"
471400,OTSEGO,ONEONTA CITY SCHOOLS,NORTHEASTERN NEW YORK,2010-2012,54,20.8%,47,18.1%,101,38.8%,MIDDLE/HIGH,SCHOOL DISTRICT,189 MAIN ST,ONEONTA,NY,13820,"(42.4539, -75.0626)"
471601,OTSEGO,OTEGO-UNADILLA CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,57,18.8%,66,21.7%,123,40.5%,DISTRICT TOTAL,SCHOOL DISTRICT,2641 STATE HWY 7,OTEGO,NY,13825,"(42.3705, -75.2243)"
471601,OTSEGO,OTEGO-UNADILLA CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,38,19.7%,44,22.8%,82,42.5%,ELEMENTARY,SCHOOL DISTRICT,2641 STATE HWY 7,OTEGO,NY,13825,"(42.3705, -75.2243)"
471601,OTSEGO,OTEGO-UNADILLA CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,19,17.1%,22,19.8%,41,36.9%,MIDDLE/HIGH,SCHOOL DISTRICT,2641 STATE HWY 7,OTEGO,NY,13825,"(42.3705, -75.2243)"
471701,OTSEGO,COOPERSTOWN CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,51,16.2%,46,14.6%,97,30.9%,DISTRICT TOTAL,SCHOOL DISTRICT,39 LINDEN AVE,COOPERSTOWN,NY,13326,"(42.6904, -74.9347)"
471701,OTSEGO,COOPERSTOWN CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,25,15.8%,16,10.1%,41,25.9%,ELEMENTARY,SCHOOL DISTRICT,39 LINDEN AVE,COOPERSTOWN,NY,13326,"(42.6904, -74.9347)"
471701,OTSEGO,COOPERSTOWN CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,26,16.7%,30,19.2%,56,35.9%,MIDDLE/HIGH,SCHOOL DISTRICT,39 LINDEN AVE,COOPERSTOWN,NY,13326,"(42.6904, -74.9347)"
472001,OTSEGO,RICHFLD SPRINGS CENT SCH,NORTHEASTERN NEW YORK,2010-2012,24,16.9%,31,21.8%,55,38.7%,DISTRICT TOTAL,SCHOOL DISTRICT,93 MAIN ST,RICHFIELD SPRINGS,NY,13439,"(42.8542, -74.9906)"
472001,OTSEGO,RICHFLD SPRINGS CENT SCH,NORTHEASTERN NEW YORK,2010-2012,8,10.8%,19,25.7%,27,36.5%,ELEMENTARY,SCHOOL DISTRICT,93 MAIN ST,RICHFIELD SPRINGS,NY,13439,"(42.8542, -74.9906)"
472001,OTSEGO,RICHFLD SPRINGS CENT SCH,NORTHEASTERN NEW YORK,2010-2012,12,19.7%,9,14.8%,21,34.4%,MIDDLE/HIGH,SCHOOL DISTRICT,93 MAIN ST,RICHFIELD SPRINGS,NY,13439,"(42.8542, -74.9906)"
472202,OTSEGO,CHERRY VALLEY SPRINGFIELD CENT SCHOOL,NORTHEASTERN NEW YORK,2010-2012,35,19.1%,25,13.7%,60,32.8%,DISTRICT TOTAL,SCHOOL DISTRICT,597 COUNTY HWY 54,CHERRY VALLEY,NY,13320,"(42.8144, -74.7703)"
472202,OTSEGO,CHERRY VALLEY SPRINGFIELD CENT SCHOOL,NORTHEASTERN NEW YORK,2010-2012,21,16.8%,21,16.8%,42,33.6%,ELEMENTARY,SCHOOL DISTRICT,597 COUNTY HWY 54,CHERRY VALLEY,NY,13320,"(42.8144, -74.7703)"
472202,OTSEGO,CHERRY VALLEY SPRINGFIELD CENT SCHOOL,NORTHEASTERN NEW YORK,2010-2012,14,22.2%,10,15.9%,24,38.1%,MIDDLE/HIGH,SCHOOL DISTRICT,597 COUNTY HWY 54,CHERRY VALLEY,NY,13320,"(42.8144, -74.7703)"
472506,OTSEGO,WORCESTER CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,9,9.3%,24,24.7%,33,34%,DISTRICT TOTAL,SCHOOL DISTRICT,198 MAIN ST,WORCESTER,NY,12197,"(42.5915, -74.7511)"
472506,OTSEGO,WORCESTER CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,5,6.7%,17,22.7%,22,29.3%,ELEMENTARY,SCHOOL DISTRICT,198 MAIN ST,WORCESTER,NY,12197,"(42.5915, -74.7511)"
472506,OTSEGO,WORCESTER CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,7,14.6%,7,14.6%,14,29.2%,MIDDLE/HIGH,SCHOOL DISTRICT,198 MAIN ST,WORCESTER,NY,12197,"(42.5915, -74.7511)"
480101,PUTNAM,MAHOPAC CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,205,13.9%,255,17.3%,460,31.2%,DISTRICT TOTAL,SCHOOL DISTRICT,179 E LAKE BLVD,MAHOPAC,NY,10541,"(41.3772, -73.7291)"
480101,PUTNAM,MAHOPAC CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,101,13.7%,125,16.9%,226,30.6%,ELEMENTARY,SCHOOL DISTRICT,179 E LAKE BLVD,MAHOPAC,NY,10541,"(41.3772, -73.7291)"
480101,PUTNAM,MAHOPAC CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,104,14.2%,130,17.7%,234,31.9%,MIDDLE/HIGH,SCHOOL DISTRICT,179 E LAKE BLVD,MAHOPAC,NY,10541,"(41.3772, -73.7291)"
480102,PUTNAM,CARMEL CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,260,16.5%,291,18.5%,551,35.1%,DISTRICT TOTAL,SCHOOL DISTRICT,81 SOUTH ST,PATTERSON,NY,12563,"(41.5081, -73.6064)"
480102,PUTNAM,CARMEL CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,149,16.6%,164,18.3%,313,34.9%,ELEMENTARY,SCHOOL DISTRICT,81 SOUTH ST,PATTERSON,NY,12563,"(41.5081, -73.6064)"
480102,PUTNAM,CARMEL CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,111,16.6%,127,19%,238,35.5%,MIDDLE/HIGH,SCHOOL DISTRICT,81 SOUTH ST,PATTERSON,NY,12563,"(41.5081, -73.6064)"
480401,PUTNAM,HALDANE CENT SCH OF PHILIPSTWN,HUDSON VALLEY,2010-2012,20,10.1%,29,14.6%,49,24.6%,DISTRICT TOTAL,SCHOOL DISTRICT,15 CRAIGSIDE DR,COLD SPRING,NY,10516,"(41.4213, -73.9566)"
480401,PUTNAM,HALDANE CENT SCH OF PHILIPSTWN,HUDSON VALLEY,2010-2012,13,11.8%,17,15.5%,30,27.3%,ELEMENTARY,SCHOOL DISTRICT,15 CRAIGSIDE DR,COLD SPRING,NY,10516,"(41.4213, -73.9566)"
480401,PUTNAM,HALDANE CENT SCH OF PHILIPSTWN,HUDSON VALLEY,2010-2012,5,5.7%,12,13.8%,17,19.5%,MIDDLE/HIGH,SCHOOL DISTRICT,15 CRAIGSIDE DR,COLD SPRING,NY,10516,"(41.4213, -73.9566)"
480404,PUTNAM,GARRISON UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,,,,,,,DISTRICT TOTAL,SCHOOL DISTRICT,1100 RT 9D,GARRISON,NY,10524,"(41.3806, -73.9401)"
480404,PUTNAM,GARRISON UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,,,,,,,ELEMENTARY,SCHOOL DISTRICT,1100 RT 9D,GARRISON,NY,10524,"(41.3806, -73.9401)"
480404,PUTNAM,GARRISON UNION FREE SCHOOL,HUDSON VALLEY,2010-2012,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,1100 RT 9D,GARRISON,NY,10524,"(41.3806, -73.9401)"
480503,PUTNAM,PUTNAM VALLEY CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,73,16.3%,70,15.7%,143,32%,DISTRICT TOTAL,SCHOOL DISTRICT,146 PEEKSKLL HOLLW RD,PUTNAM VALLEY,NY,10579,"(41.3372, -73.8602)"
480503,PUTNAM,PUTNAM VALLEY CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,43,17.8%,37,15.4%,80,33.2%,ELEMENTARY,SCHOOL DISTRICT,146 PEEKSKLL HOLLW RD,PUTNAM VALLEY,NY,10579,"(41.3372, -73.8602)"
480503,PUTNAM,PUTNAM VALLEY CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,30,14.6%,33,16%,63,30.6%,MIDDLE/HIGH,SCHOOL DISTRICT,146 PEEKSKLL HOLLW RD,PUTNAM VALLEY,NY,10579,"(41.3372, -73.8602)"
480601,PUTNAM,BREWSTER CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,145,15%,172,17.8%,317,32.8%,DISTRICT TOTAL,SCHOOL DISTRICT,30 FARM-TO-MARKET RD,BREWSTER,NY,10509,"(41.4375, -73.6069)"
480601,PUTNAM,BREWSTER CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,68,14.5%,95,20.3%,163,34.8%,ELEMENTARY,SCHOOL DISTRICT,30 FARM-TO-MARKET RD,BREWSTER,NY,10509,"(41.4375, -73.6069)"
480601,PUTNAM,BREWSTER CENTRAL SCHOOL,HUDSON VALLEY,2010-2012,77,15.4%,77,15.4%,154,30.9%,MIDDLE/HIGH,SCHOOL DISTRICT,30 FARM-TO-MARKET RD,BREWSTER,NY,10509,"(41.4375, -73.6069)"
490101,RENSSELAER,BERLIN CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,65,19.5%,58,17.4%,123,36.8%,DISTRICT TOTAL,SCHOOL DISTRICT,53 SCHOOL ST,BERLIN,NY,12022,"(42.6899, -73.3663)"
490101,RENSSELAER,BERLIN CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,44,22%,32,16%,76,38%,ELEMENTARY,SCHOOL DISTRICT,53 SCHOOL ST,BERLIN,NY,12022,"(42.6899, -73.3663)"
490101,RENSSELAER,BERLIN CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,21,16.2%,26,20%,47,36.2%,MIDDLE/HIGH,SCHOOL DISTRICT,53 SCHOOL ST,BERLIN,NY,12022,"(42.6899, -73.3663)"
490202,RENSSELAER,BRUNSWICK CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,94,22.5%,55,13.2%,149,35.7%,DISTRICT TOTAL,SCHOOL DISTRICT,3992 NY RT 2,TROY,NY,12180,"(42.7503, -73.5713)"
490202,RENSSELAER,BRUNSWICK CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,43,19.7%,42,19.3%,85,39%,ELEMENTARY,SCHOOL DISTRICT,3992 NY RT 2,TROY,NY,12180,"(42.7503, -73.5713)"
490202,RENSSELAER,BRUNSWICK CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,51,25.6%,13,6.5%,64,32.2%,MIDDLE/HIGH,SCHOOL DISTRICT,3992 NY RT 2,TROY,NY,12180,"(42.7503, -73.5713)"
490301,RENSSELAER,EAST GREENBUSH CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,259,17.1%,238,15.7%,497,32.8%,DISTRICT TOTAL,SCHOOL DISTRICT,29 ENGLEWOOD AVE,EAST GREENBUSH,NY,12061,"(42.6005, -73.7064)"
490301,RENSSELAER,EAST GREENBUSH CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,169,19.9%,128,15.1%,297,34.9%,ELEMENTARY,SCHOOL DISTRICT,29 ENGLEWOOD AVE,EAST GREENBUSH,NY,12061,"(42.6005, -73.7064)"
490301,RENSSELAER,EAST GREENBUSH CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,90,13.7%,110,16.8%,200,30.5%,MIDDLE/HIGH,SCHOOL DISTRICT,29 ENGLEWOOD AVE,EAST GREENBUSH,NY,12061,"(42.6005, -73.7064)"
490501,RENSSELAER,HOOSICK FALLS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,51,20.4%,64,25.6%,115,46%,DISTRICT TOTAL,SCHOOL DISTRICT,21187 NY RT 22,HOOSICK FALLS,NY,12090,"(42.8747, -73.3559)"
490501,RENSSELAER,HOOSICK FALLS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,23,17.3%,35,26.3%,58,43.6%,ELEMENTARY,SCHOOL DISTRICT,21187 NY RT 22,HOOSICK FALLS,NY,12090,"(42.8747, -73.3559)"
490501,RENSSELAER,HOOSICK FALLS CENTRAL SCHOOL,NORTHEASTERN NEW YORK,2010-2012,28,23.9%,29,24.8%,57,48.7%,MIDDLE/HIGH,SCHOOL DISTRICT,21187 NY RT 22,HOOSICK FALLS,NY,12090,"(42.8747, -73.3559)"
490601,RENSSELAER,LANSINGBURGH CENT SCH AT TROY,NORTHEASTERN NEW YORK,2010-2012,115,17.7%,150,23.1%,265,40.8%,DISTRICT TOTAL,SCHOOL DISTRICT,576 5TH AVE,TROY,NY,12182,"(42.7742, -73.6739)"
490601,RENSSELAER,LANSINGBURGH CENT SCH AT TROY,NORTHEASTERN NEW YORK,2010-2012,57,21%,59,21.7%,116,42.6%,ELEMENTARY,SCHOOL DISTRICT,576 5TH AVE,TROY,NY,12182,"(42.7742, -73.6739)"
490601,RENSSELAER,LANSINGBURGH CENT SCH AT TROY,NORTHEASTERN NEW YORK,2010-2012,58,16.2%,80,22.3%,138,38.4%,MIDDLE/HIGH,SCHOOL DISTRICT,576 5TH AVE,TROY,NY,12182,"(42.7742, -73.6739)"
490801,RENSSELAER,NORTH GREENBUSH COMMON SCHOOL DIST,NORTHEASTERN NEW YORK,2010-2012,,,,,,,DISTRICT TOTAL,SCHOOL DISTRICT,476 N GREENBUSH RD,RENSSELAER,NY,12144,"(42.6593, -73.6932)"
490801,RENSSELAER,NORTH GREENBUSH COMMON SCHOOL DIST,NORTHEASTERN NEW YORK,2010-2012,,,,,,,ELEMENTARY,SCHOOL DISTRICT,476 N GREENBUSH RD,RENSSELAER,NY,12144,"(42.6593, -73.6932)"
490801,RENSSELAER,NORTH GREENBUSH COMMON SCHOOL DIST,NORTHEASTERN NEW YORK,2010-2012,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,476 N GREENBUSH RD,RENSSELAER,NY,12144,"(42.6593, -73.6932)"
490804,RENSSELAER,WYNANSKILL UNION FREE SCHOOL,NORTHEASTERN NEW YORK,2010-2012,18,16.1%,30,26.8%,48,42.9%,DISTRICT TOTAL,SCHOOL DISTRICT,EAST AVE,WYNANTSKILL,NY,12198,"(42.6689, -73.6296)"
490804,RENSSELAER,WYNANSKILL UNION FREE SCHOOL,NORTHEASTERN NEW YORK,2010-2012,12,15.8%,18,23.7%,30,39.5%,ELEMENTARY,SCHOOL DISTRICT,EAST AVE,WYNANTSKILL,NY,12198,"(42.6689, -73.6296)"
